Multiplier,N,Error,LayerSavings
2.5,20,1.2827,4.05
2.5,30,2.1060,5.84
2.5,40,2.0673,8.21
2.5,50,1.3679,11.69
2.5,60,2.4188,14.48
2.5,70,2.8931,16.96
2.5,80,4.0765,23.41
2.5,90,6.3208,25.38
2.5,100,3.3359,29.86
2.5,110,2.9515,32.64
2.5,120,4.1379,34.54
3.0,20,0.3972,2.36
3.0,30,0.4260,3.27
3.0,40,1.3398,4.85
3.0,50,1.2440,7.14
3.0,60,1.6392,8.61
3.0,70,1.9472,9.97
3.0,80,2.1636,15.14
3.0,90,4.2058,15.86
3.0,100,1.0810,18.84
3.0,110,1.4202,20.40
3.0,120,1.0048,21.44
3.5,20,0.3495,0.67
3.5,30,0.3989,0.70
3.5,40,0.9405,1.49
3.5,50,0.9370,2.60
3.5,60,0.5026,2.75
3.5,70,0.8446,2.99
3.5,80,1.2751,6.87
3.5,90,1.6291,6.35
3.5,100,4.1085,7.82
3.5,110,5.8558,8.18
3.5,120,4.1769,8.36
4.0,20,0.5943,-1.01
4.0,30,0.5799,-1.85
4.0,40,0.9961,-1.85
4.0,50,0.5322,-1.93
4.0,60,0.5786,-3.10
4.0,70,0.9887,-3.97
4.0,80,0.6071,-1.38
4.0,90,0.8645,-3.16
4.0,100,1.7437,-3.18
4.0,110,2.0898,-4.04
4.0,120,1.5137,-4.72
