QWEN2.5-1.5B FULL NETWORK RMT SPECTRAL CENSUS
===========================================================================
Layer  | MLP Spikes   | MLP Reff   | Attn Spikes  | Attn Reff 
---------------------------------------------------------------------------
L0     | 42           | 39.25      | 15           | 13.23     
L1     | 100          | 93.35      | 382          | 333.59    
L2     | 78           | 74.90      | 335          | 305.30    
L3     | 99           | 95.95      | 336          | 310.79    
L4     | 159          | 150.72     | 331          | 306.26    
L5     | 140          | 135.56     | 389          | 305.66    
L6     | 134          | 129.75     | 391          | 344.30    
L7     | 122          | 117.81     | 387          | 318.60    
L8     | 143          | 134.50     | 370          | 336.10    
L9     | 199          | 183.66     | 367          | 321.70    
L10    | 198          | 180.37     | 395          | 355.95    
L11    | 152          | 135.76     | 379          | 330.51    
L12    | 191          | 174.66     | 379          | 321.05    
L13    | 233          | 214.92     | 339          | 306.97    
L14    | 245          | 222.74     | 417          | 343.12    
L15    | 199          | 179.65     | 408          | 359.20    
L16    | 218          | 200.74     | 411          | 325.73    
L17    | 213          | 198.95     | 392          | 323.54    
L18    | 216          | 202.75     | 410          | 316.25    
L19    | 163          | 155.28     | 431          | 370.98    
L20    | 180          | 176.13     | 405          | 353.91    
L21    | 137          | 133.82     | 390          | 320.84    
L22    | 107          | 103.78     | 403          | 355.61    
L23    | 95           | 93.78      | 369          | 325.20    
L24    | 123          | 121.98     | 375          | 345.65    
L25    | 159          | 156.28     | 376          | 322.95    
L26    | 145          | 144.07     | 314          | 290.30    
L27    | 184          | 173.71     | 339          | 243.54    
