QWEN2.5-1.5B HPC SENSITIVITY REPORT
========================================
Layer 0: MLP=0.0046114354, Attn=0.018027863
Layer 1: MLP=0.093288314, Attn=0.010923676
Layer 2: MLP=0.081433364, Attn=0.0046578738
Layer 3: MLP=0.0053979672, Attn=0.0038671
Layer 4: MLP=0.0048552774, Attn=0.0035343308
Layer 5: MLP=0.0051002664, Attn=0.0014933749
Layer 6: MLP=0.0044476355, Attn=0.0051384382
Layer 7: MLP=0.0044938729, Attn=0.0052215511
Layer 8: MLP=0.0035236952, Attn=0.0031148293
Layer 9: MLP=0.0042758585, Attn=0.0063484397
Layer 10: MLP=0.0040852197, Attn=0.010293413
Layer 11: MLP=0.0043080326, Attn=0.0091559293
Layer 12: MLP=0.0037460486, Attn=0.0071269056
Layer 13: MLP=0.0035606895, Attn=0.0097322087
Layer 14: MLP=0.0030912758, Attn=0.006722448
Layer 15: MLP=0.0031257123, Attn=0.0088557175
Layer 16: MLP=0.0035750907, Attn=0.0080112444
Layer 17: MLP=0.0032388812, Attn=0.0068558576
Layer 18: MLP=0.0033245872, Attn=0.0082276282
Layer 19: MLP=0.0040345516, Attn=0.0054201437
Layer 20: MLP=0.003050495, Attn=0.0061127423
Layer 21: MLP=0.0050616518, Attn=0.0058715894
Layer 22: MLP=0.0065451963, Attn=0.0042184319
Layer 23: MLP=0.006659618, Attn=0.0053772145
Layer 24: MLP=0.0056422943, Attn=0.0046817602
Layer 25: MLP=0.0046596421, Attn=0.0055861938
Layer 26: MLP=0.10977441, Attn=0.005052631
Layer 27: MLP=0.01423911, Attn=0.0098609379
