Multiplier,N_Layers,PPL
1.5,1,7.9618
1.5,2,8.2476
1.5,3,8.6317
1.5,4,10.0421
1.5,5,11.5906
1.5,6,19.0074
1.5,7,23.8462
1.5,8,41.4291
1.5,9,59.0491
1.5,10,104.0861
2.0,1,7.8933
2.0,2,8.1140
2.0,3,8.4239
2.0,4,9.6204
2.0,5,10.7802
2.0,6,16.0248
2.0,7,19.3890
2.0,8,30.0523
2.0,9,39.5315
2.0,10,68.5458
2.0,11,161.9517
2.5,1,7.8419
2.5,2,8.0347
2.5,3,8.3030
2.5,4,9.3143
2.5,5,10.2082
2.5,6,14.4233
2.5,7,17.2013
2.5,8,24.6939
2.5,9,31.1006
2.5,10,48.0828
2.5,11,91.8247
2.5,12,465.0796
3.0,1,7.7792
3.0,2,7.9347
3.0,3,8.1634
3.0,4,9.0142
3.0,5,9.6474
3.0,6,12.6627
3.0,7,14.7542
3.0,8,19.1649
3.0,9,22.9135
3.0,10,33.7100
3.0,11,57.9566
3.0,12,228.2650
3.5,1,7.7305
3.5,2,7.8634
3.5,3,8.0436
3.5,4,8.7708
3.5,5,9.2390
3.5,6,11.4228
3.5,7,13.0228
3.5,8,15.6540
3.5,9,17.7451
3.5,10,24.1764
3.5,11,35.6734
3.5,12,155.4977
4.0,1,7.6801
4.0,2,7.7934
4.0,3,7.9497
4.0,4,8.5764
4.0,5,8.9374
4.0,6,10.6612
4.0,7,11.9472
4.0,8,13.7629
4.0,9,15.1080
4.0,10,19.0435
4.0,11,25.4238
4.0,12,109.1335
